brand,model,color,line,productGroup,baseTitle
"Kuuma","58140-A","white",,,
"Royal Gourmet","GA5401T","silver",,,
"Z GRILLS",,"Silver",,,
"Mazonia",,"Gold",,,"Mazonia Portable Infusion Smoker Gun For Kitchen Indoor Outdoor Meat Sous Vide Grill BBQ Cocktail Drinks And Cheese. Uses Real Wood Chips Gold"
"CARPATHEN",,"Silver",,,
"Fuego","F21S-H","Stainless Steel",,,"Fuego Element Hinged Propane Gas Grill"
"Wolf Range Company",,,,,
"Cuisinart","CGG-888","360° Griddle Cooking Center",,,
"MaxKare",,,,,
"Masterbuilt","MB20101114","Black",,,"Masterbuilt Universal"
"Weber","46810001","Black",,,
"Royal Gourmet","SG3001","Black",,,
"PIT BOSS","PB336GS","Black",,,
"Char-Broil","465620011","Black",,,"Char Broil Portable Liquid Propane Gas Grill"
"KAPAS",,,,,"Outdoor Indoor Portable Propane Stove Single Double Burners with Gas Premium Hose for Backyard Kitchen Camping Grill Hiking Cooking Recreation"
"only fire",,,,,
"Texsport","15112","Black",,,
"CHAR-PiT",,"Stainless Steel",,,
"Lumber Jack","LJACK-Hick-Charcoal-20","brown",,,
"IMSurQltyPrise","Smoker - 6"" Hexagon","6"" Hexagon",,,"Smoker Tube Box for Pellets Grill"
"Char-Broil",,,,,"Char-Broil Classic 280 2-Burner Liquid Propane Gas Grill"
"Magma","A10-703","Multi",,,"Magma Products Adventurer Cabo Marine Series Grill"
"Pellet Pro",,,,,
"Expert Grill",,,,,
"RCK Sales",,,,,
"Sunkorto",,,,,"Sunkorto Folded Charcoal BBQ Grill Set Stainless Steel Portable Folding Barbecue Tool Kits for Outdoor Picnic Patio Backyard Camping Cooking"
"Weber",,"white",,,"Weber Grill"
"ISUMER","ISUMERBBQgrill003","Sliver",,,
"Traeger","10251","Bronze",,,
"OutdoorGears",,,,,"Pellet Smoker Tube 12 Steel BBQ Wood for Cold Or Hot Smoking Generator Electric Gas Charcoal Grill Smokers Food Tong"
"PUXING",,"bbq grill",,,
"Weber","14501001","Black",,,"14501001 Master Touch Charcoal Grill, 22 Inch,"
"Kuuma","58171","white",,,"Kuuma Stainless Steel Mountable Grill for and More Stow Go"
"Royal Gourmet","PD1200","Black",,,"Royal Gourmet Portable Griddle"
"Dyna-Glo","DGSS287CB-D","Black powder coat",,,
"Apexmode",,,,,
"Pit Boss Grills",,,,,"Pit Boss Grills PB100P1 Stop Single-Burner Portable Tabletop Grill"
"Weber","15501001","Black",,,"Weber"
"Chefhut",,"silver",,,
,"SG_B014I51RKE_US",,,,
"KYODOLED",,"silver",,,"KYODOLED Premium Pellet Smoker Tube Stainless Steel BBQ for Grill 5 Hours of Billowing Smoke-Hot or Cold Smoking 2 Hooks 1 Cleaning Brush Hexagon"
"Royal Gourmet","SE2801","Black",,,"Royal Gourmet SE2801 Electric Smoker Black"
"JY COOKMENT",,"stainless steel",,,
"ROVSUN",,,,,"ROVSUN Propane Portable Grill Tabletop Gas Camping Outdoor for Cooking Stainless Steel Picnic Patio Garden BBQ Tailgating"
"AOPARTS",,"Black",,,
"Huntington","30040HNT","Black",,,"Huntington Liquid Propane Gas Grill"
"VEVOR",,"Black",,,"VEVOR Outdoor Park Style Grill Inch with Steel Stainless Charcoal Grate Carbon Adjustable"
"Barrel House Cooker",,,,,
"Masterbuilt","SH19050211","Propane Smoker (Newer Version)",,,"Smoke Hollow PS40B Propane Smoker by Masterbuilt, Black"
"Aoxun",,"13”Red",,,"Kamado Ceramic Barbecue Grill Aoxun for"
