brand,model,color,line,productGroup,baseTitle
"Kuuma","58171","white",,,"Kuuma Stainless Steel Mountable Grill for and More Stow Go"
"narratorbook",,,,,"narratorbook Cocktail Smoker Kit Smoking Portable Gun Food Smoke Infuser for Drinks Molecular Bubble Water Sprayer Handheld Drink Bar Kitchen"
"ELLIS SCHOFIELD",,"Black",,,"ELLIS SCHOFIELD Charcoal Grill Barbecue Portable BBQ Stainless Steel Folding Tabletop Outdoor Smoker for Picnic Garden Terrace Camping Travel"
"Broilmann",,"black",,,
"Moclever",,"Black",,,
"Char-Broil",,,,,"Char-Broil 463375919 Performance Stainless Steel 4-Burner Cabinet Style Liquid Propane Gas Grill"
"FireDisc","TCGFD22HRR","Fireman Red",,,"Original FIREDISC- 36 Tall Propane Cooker"
"Weber","62006001","Stainless Steel",,,"Weber II Grill"
"Char-Griller","E6714","Black",,,"Char-Griller Charcoal Grill"
"CREATIVECHEF",,"Gold",,,"CREATIVECHEF SG16 Smoking Gun Cocktail Smoker Smoke Infuser Food to Enhance Taste for Meat Sous Vide BBQ Drinks Cheese"
"Burnaby Manufacturing Ltd","G0101SS50BI","Stainless Steel",,,"Burnaby Manufacturing Ltd Plug Gas"
"Royal Gourmet","CD1824EC","black",,,
