brand,model,color,line,productGroup,baseTitle
"Maxi-Cosi","CV371EMJ","Night Black",,,"Maxi-Cosi Adorra Modular"
"Dream On Me","446-BLK","Black",,,
"Cynebaby / HAIXIAO",,"Elegant Red",,,
"Kolcraft","KU022-SCR1","Scarlett Red",,,"Kolcraft Cloud Umbrella Stroller"
"Maydolly","MDNB808A","Blue Grey",,,"Baby Stroller for Newborn and Toddler 2 in 1 High Landscape Convertible Reversible Bassinet Pram Foldable Aluminum Alloy Pushchair with 5-Point Harness"
"SCOZER",,,,,
"Uenjoy",,"Grey",,,"Uenjoy Baby Stroller Foldable with Seat Lockable Universal Wheels and Five-Point Safety Belt Adjustable Awning Variable Recliner"
"BRITAX","S05588400","Cardinal",,,
"Graco","2025744","Tuscan",,,
"Pamo Babe",,"Black",,,"Lightweight Stroller Umbrella Travel"
"Baby Jogger","2083081","Jet",,,
,"U001AM","Blue",,,"Pamo Babe Lightweight Baby Stroller Umbrella with Canopy"
"Evezo","214-1A","Pink",,,
"Dream On Me","446-PNK","Pink",,,
"Delta Children","11998-850A","Galaxy",,,
"Evenflo","56231952","Mineral Gray",,,
"Chicco","05079043210070","Meridian",,,"Chicco Cortina Together Double Stroller"
"Mountain Buggy","nano_v3_221","Year of Ox",,,
"Baby Delight","BD05340","Charcoal Tweed",,,
"Peg Perego","IPMS26US00SO13","Onyx",,,"Peg Perego"
"BOB Gear","S09891900","Meadow",,,"BOB Revolution Flex 2.0 Jogging Stroller Handlebar"
"UPPAbaby","0420-CRZ-NA-HZL/1017-MSA-US-JKE","Black",,,
"Chicco","06079746210070","Graphite",,,
"Maxi-Cosi","CV326EMP","Nomad Green",,,"Maxi-Cosi Adorra Modular Stroller"
"Thule","20100209",,,,
"WONDERFOLD",,"Elite Black Camo",,,"WONDERFOLD W2S 2.0 Multi-Function 2 Passenger Folding Stroller Wagon with Adjustable Canopy Reclining Seats Automatic Magnetic Buckles and a Vegan Leather Covered Handle Bar Black"
"Joovy","8091","Red",,,"JOOVY Balloon Stroller"
"Bugaboo",,"Alu/Blue Mélange",,,"Lynx"
"Chicco","04079610760070","Hazelwood",,,
"Baby Trend","TJ50C29E","Blue Spectrum",,,
"Graco","2068099","Rowan",,,"Graco FitFold"
"TXTC",,"Light Grey",,,"TXTC 3 in 1 Pushchair Stroller Foldable Shock Absorption Baby Lightweight Pram with Mommy Bag and Weatherproof Cover Mosquito Net"
"Babyzen","3760222210126",,,,
"gb","618000821","Satin Black",,,
"daphyls","DAPCHUS","multi",,,
"Chicco","05079224330070","Silhouette",,,
"Playkidz",,"Red",,,"Double Stroller with 3-Phase Canopy for Maximum Weather Coverage Lightweight Design Perfect Travel"
"Babyzen",,"Black",,,
"Delta",,"Gray",,,
"Baby Jogger","1962819","MB Single",,,
"Baby Jogger","1969680","Steel Gray",,,
"Asixxsix",,,,,
"Cosco",,"Pirate Life for Me",,,"Umbrella Stroller"
"UPPAbaby","0719-GLK-US-JOR","Gray",,,
"BOB Gear","S12044800","Graphite Black",,,
"Babyzen",,"Black",,,
"UPPAbaby","0420-CRZ-NA-JKE/0920-BAS-NA-JKE","Black",,,"UPPAbaby Cruz V2 Stroller Leather Bassinet"
"Bugaboo","500527SE01","Black",,,
"Children's Factory","AFB6400SB","Yellow",,,
"Franterd","Franterd","Blue",,,"Wheeled Buggy Board Second Child Artifact Kids Pushchair Stroller Ride On with Detachable Seat Attachment Standing Platform Up to 25Kg"
"BRITAX","S12776300","Eclipse Black SafeWash",,,
"Baby Jogger",,"grey",,,
"Bumbleride","IT-980DG","Dawn Grey",,,"Bumbleride Indie Stroller"
"Joovy","9082","Black",,,
"UPPAbaby","0918-MBK-US-JOR","Jordan Charcoal Melange",,,"2018 from Birth Kit Jordan Charcoal Melange"
"Contours","ZL037-ONX1","Onyx Black",,,"Contours Bitsy Elite Compact Fold Lightweight Stroller for Travel Airplane Friendly Adapter Free Car Seat Compatibility"
"cynebaby","BR1OXGR","OXford Grey",,,"Double Stroller Convenience Urban Twin Carriage Tandem Collapsible All Terrain Pushchair for Toddler Girls and Boys Stable Frame with Bag Organizer Oxford"
"Happybuy",,"Gold",,,
"BRITAX","U201965","Cool Flow Teal",,,"Britax Stroller Cool Flow Teal"
"BRITAX","S869800","Black",,,
"Born Free","25304",,,,"SIBA Playard"
"Baby Jogger","2041511","Iris",,,"Baby Jogger City Tour LUX Foldable Pram"
"Baby Trend","TS53057A","Drip Drop",,,"Baby Trend Go Sprout Travel System"
"Baby Joy",,"Black",,,"BABY JOY Stroller Front Rear Facing Toddler Carriage w Convertible Seat Cup Holder 5-Point Harness Adjustable Handle Canopy Backrest Storage Basket One-Step Brake Foldable"
"Chicco","00079632920070","Camden",,,
"Evenflo","53012312","Sapphire",,,"Evenflo Gold Verge3 Travel System"
"Maclaren","WD1G401312","Black",,,"Maclaren Lightweight"
"UPPAbaby","0618-GLT-US-JOR/0255","Red",,,
"Baby Jogger",,"Slate",,,
"Joovy","8189","Grey Melange",,,"Joovy Qool Melange"
"UPPAbaby","0818-MIN-US-RYN","Teal Melange/Silver/Saddle Leather",,,
"Quinny","884392615772",,,,
"UPPAbaby",,"Loic/Jake",,,"2018 UPPABaby Cruz Stroller Leather Black"
"Foundations","4141299","Lime",,,"Foundations 2020 Stroller, The Quad Sport 4 Passenger,"
"Baby Trend","ST49B81A","Lilac",,,
"Baby Trend","JG50132","Java",,,"Baby Trend Jogger Stroller"
"UPPAbaby","0918-RCG-WW-JKE","Black",,,
"Baby Trend","SS27D06A","Pink",,,
